ticker,metric,fiscal_year,period_end,value,tag_used,accession
V,net_income,2017,2017-09-30,6699000000,NetIncomeLoss,0001403161-17-000044
V,net_income,2018,2018-09-30,10301000000,NetIncomeLoss,0001403161-18-000055
V,net_income,2019,2019-09-30,12080000000,NetIncomeLoss,0001403161-19-000050
V,net_income,2020,2020-09-30,10866000000,NetIncomeLoss,0001403161-20-000070
V,net_income,2021,2021-09-30,12311000000,NetIncomeLoss,0001403161-21-000060
V,net_income,2022,2022-09-30,14957000000,NetIncomeLoss,0001403161-22-000081
V,net_income,2023,2023-09-30,17273000000,NetIncomeLoss,0001403161-23-000099
V,net_income,2024,2024-09-30,19743000000,NetIncomeLoss,0001403161-24-000058
V,net_income,2025,2025-09-30,20058000000,NetIncomeLoss,0001403161-25-000089
V,operating_expenses,2009,2009-09-30,3373000000,CostsAndExpenses,0001193125-09-239249
V,operating_expenses,2010,2010-09-30,3476000000,CostsAndExpenses,0001193125-10-265236
V,operating_expenses,2011,2011-09-30,3732000000,CostsAndExpenses,0001193125-11-315956
V,operating_expenses,2012,2012-09-30,8282000000,CostsAndExpenses,0001384108-12-000011
V,operating_expenses,2013,2013-09-30,4539000000,CostsAndExpenses,0001403161-13-000011
V,operating_expenses,2014,2014-09-30,5005000000,CostsAndExpenses,0001403161-14-000017
V,operating_expenses,2015,2015-09-30,4816000000,CostsAndExpenses,0001403161-15-000013
V,operating_expenses,2016,2016-09-30,7199000000,CostsAndExpenses,0001403161-16-000058
V,operating_expenses,2017,2017-09-30,6214000000,CostsAndExpenses,0001403161-17-000044
V,operating_expenses,2018,2018-09-30,7655000000,CostsAndExpenses,0001403161-18-000055
V,operating_expenses,2019,2019-09-30,7976000000,CostsAndExpenses,0001403161-19-000050
V,operating_expenses,2020,2020-09-30,7765000000,CostsAndExpenses,0001403161-20-000070
V,operating_expenses,2021,2021-09-30,8301000000,CostsAndExpenses,0001403161-21-000060
V,operating_expenses,2022,2022-09-30,10497000000,CostsAndExpenses,0001403161-22-000081
V,operating_expenses,2023,2023-09-30,11653000000,CostsAndExpenses,0001403161-23-000099
V,operating_expenses,2024,2024-09-30,12331000000,CostsAndExpenses,0001403161-24-000058
V,operating_expenses,2025,2025-09-30,16006000000,CostsAndExpenses,0001403161-25-000089
V,total_assets,2009,2009-09-30,32281000000,Assets,0001193125-09-239249
V,total_assets,2010,2010-09-30,33408000000,Assets,0001193125-10-265236
V,total_assets,2011,2011-09-30,34760000000,Assets,0001193125-11-315956
V,total_assets,2012,2012-09-30,40013000000,Assets,0001384108-12-000011
V,total_assets,2013,2013-09-30,35956000000,Assets,0001403161-13-000011
V,total_assets,2014,2014-09-30,38569000000,Assets,0001403161-14-000017
V,total_assets,2015,2015-09-30,40236000000,Assets,0001403161-15-000013
V,total_assets,2016,2016-09-30,64035000000,Assets,0001403161-16-000058
V,total_assets,2017,2017-09-30,67977000000,Assets,0001403161-17-000044
V,total_assets,2018,2018-09-30,69225000000,Assets,0001403161-18-000055
V,total_assets,2019,2019-09-30,72574000000,Assets,0001403161-19-000050
V,total_assets,2020,2020-09-30,80919000000,Assets,0001403161-20-000070
V,total_assets,2021,2021-09-30,82896000000,Assets,0001403161-21-000060
V,total_assets,2022,2022-09-30,85501000000,Assets,0001403161-22-000081
V,total_assets,2023,2023-09-30,90499000000,Assets,0001403161-23-000099
V,total_assets,2024,2024-09-30,94511000000,Assets,0001403161-24-000058
V,total_assets,2025,2025-09-30,99627000000,Assets,0001403161-25-000089
V,interest_income_net,2011,2011-09-30,-32000000,InterestIncomeExpenseNet,0001193125-11-315956
V,interest_income_net,2016,2016-09-30,-427000000,InterestIncomeExpenseNet,0001403161-16-000058
V,interest_income_net,2017,2017-09-30,-563000000,InterestIncomeExpenseNet,0001403161-17-000044
V,interest_income_net,2018,2018-09-30,-612000000,InterestIncomeExpenseNet,0001403161-18-000055
V,interest_income_net,2019,2019-09-30,-533000000,InterestIncomeExpenseNet,0001403161-19-000050
V,interest_income_net,2020,2020-09-30,-516000000,InterestIncomeExpenseNet,0001403161-20-000070
V,interest_income_net,2021,2021-09-30,-513000000,InterestIncomeExpenseNet,0001403161-21-000060
V,interest_income_net,2022,2022-09-30,-538000000,InterestIncomeExpenseNet,0001403161-22-000081
V,interest_income_net,2023,2023-09-30,-644000000,InterestIncomeExpenseNet,0001403161-23-000099
MA,revenue,2019,2019-12-31,24980000000,RevenueFromContractWithCustomerExcludingAssessedTax,0001141391-20-000032
MA,revenue,2020,2020-12-31,23616000000,RevenueFromContractWithCustomerExcludingAssessedTax,0001141391-21-000018
MA,revenue,2021,2021-12-31,29845000000,RevenueFromContractWithCustomerExcludingAssessedTax,0001141391-22-000023
MA,operating_income,2011,2011-12-31,2713000000,OperatingIncomeLoss,0001141391-12-000003
MA,operating_income,2012,2012-12-31,3937000000,OperatingIncomeLoss,0001141391-13-000003
MA,operating_income,2013,2013-12-31,4503000000,OperatingIncomeLoss,0001141391-14-000003
MA,operating_income,2014,2014-12-31,5106000000,OperatingIncomeLoss,0001141391-15-000011
MA,operating_income,2016,2016-12-31,5761000000,OperatingIncomeLoss,0001141391-17-000014
MA,operating_income,2019,2019-12-31,9664000000,OperatingIncomeLoss,0001141391-20-000032
MA,operating_income,2020,2020-12-31,8081000000,OperatingIncomeLoss,0001141391-21-000018
MA,operating_income,2021,2021-12-31,10082000000,OperatingIncomeLoss,0001141391-22-000023
MA,operating_income,2022,2022-12-31,12264000000,OperatingIncomeLoss,0001141391-23-000020
MA,operating_income,2023,2023-12-31,14008000000,OperatingIncomeLoss,0001141391-24-000022
MA,operating_income,2024,2024-12-31,15582000000,OperatingIncomeLoss,0001141391-25-000011
MA,operating_income,2025,2025-12-31,18897000000,OperatingIncomeLoss,0001141391-26-000013
MA,operating_income,2009,2009-12-31,2260108000,OperatingIncomeLoss,0001193125-10-034065
MA,operating_income,2010,2010-12-31,2752000000,OperatingIncomeLoss,0001193125-11-044721
MA,net_income,2011,2011-12-31,1906000000,NetIncomeLoss,0001141391-12-000003
MA,net_income,2012,2012-12-31,2759000000,NetIncomeLoss,0001141391-13-000003
MA,net_income,2013,2013-12-31,3116000000,NetIncomeLoss,0001141391-14-000003
MA,net_income,2009,2009-12-31,1462532000,NetIncomeLoss,0001193125-10-034065
MA,net_income,2010,2010-12-31,1846000000,NetIncomeLoss,0001193125-11-044721
MA,operating_expenses,2016,2016-12-31,5015000000,OperatingExpenses,0001141391-17-000014
